ticket_id,customer_id,created_at,closed_at,category,priority,status,channel,subject,details,resolution_summary,satisfaction_score
5001,1065,2026-01-22 23:00:27,,Shipping,Low,Open,Phone,Package delayed,Customer reports delivery delay beyond estimate and requests tracking update. (Subject: Package delayed),,0
5002,1083,2024-10-07 04:47:18,2024-10-09 11:20:18,Refund,Low,Closed,Email,Refund timeline,Customer asks whether their order qualifies for a refund and what the timeline is. (Subject: Refund timeline),Explained refund policy and initiated refund after verification.,5
5003,1132,2025-09-22 20:14:02,2025-09-23 03:00:02,Technical,High,Closed,Phone,Error on checkout,Customer reports the app crashes on a specific screen and needs a workaround. (Subject: Error on checkout),Reset credentials and verified successful login.,5
5004,1016,2025-07-24 14:18:58,2025-07-27 06:03:58,Support,High,Closed,Email,Promo code not working,Customer asks for steps to complete a common action inside the product. (Subject: Promo code not working),Applied promo code manually and explained eligibility.,5
5005,1017,2026-01-01 05:24:19,2026-01-02 23:48:19,Refund,Urgent,Closed,Phone,Refund for damaged item,Customer asks whether their order qualifies for a refund and what the timeline is. (Subject: Refund for damaged item),Provided ETA and confirmation email once refund was approved.,5
5006,1026,2026-01-18 00:44:02,2026-01-21 00:30:02,Shipping,High,Closed,Web,Package delayed,Customer says tracking has not updated for multiple days and asks for escalation. (Subject: Package delayed),Contacted carrier and shared updated tracking; offered compensation where applicable.,4
5007,1117,2025-04-27 06:19:24,2025-04-28 15:42:24,Billing,Urgent,Closed,Web,Charged twice,Customer sees a duplicate charge for the same invoice/order and requests correction. (Subject: Charged twice),Removed duplicate charge and sent corrected invoice.,5
5008,1024,2024-12-06 13:31:40,2024-12-09 14:06:40,Billing,Medium,Closed,Email,Payment failed,Customer reports a payment failure and needs urgent help to renew. (Subject: Payment failed),Resolved payment issue and confirmed successful renewal.,5
5009,1109,2025-04-07 21:48:02,2025-04-09 19:54:02,Shipping,Medium,Closed,Chat,Package delayed,Customer reports delivery delay beyond estimate and requests tracking update. (Subject: Package delayed),Corrected address and re-routed shipment; confirmation sent.,4
5010,1028,2025-06-08 23:50:04,2025-06-10 12:26:04,Billing,Low,Closed,Web,Tax/fee clarification,Customer asks for a breakdown of taxes/fees on the invoice. (Subject: Tax/fee clarification),Explained fees and provided invoice breakdown.,5
5011,1143,2024-09-18 23:43:35,2024-09-20 16:41:35,Refund,Medium,Closed,Email,Refund timeline,Customer reports the refund ETA has passed and wants an update. (Subject: Refund timeline),Verified refund status and shared transaction reference; confirmed processing timeline.,5
5012,1103,2024-11-06 18:29:13,2024-11-07 22:53:13,Refund,Medium,Closed,Phone,Refund not received,Customer reports the refund ETA has passed and wants an update. (Subject: Refund not received),Explained refund policy and initiated refund after verification.,4
5013,1084,2025-12-03 14:25:00,2025-12-03 21:34:00,Account,Low,Closed,Email,Delete account request,Customer says account is locked and needs reactivation. (Subject: Delete account request),Canceled subscription and sent confirmation.,4
5014,1109,2025-07-15 04:56:40,2025-07-17 23:03:40,Billing,Medium,Closed,Email,Subscription renewal issue,Customer reports a payment failure and needs urgent help to renew. (Subject: Subscription renewal issue),Explained fees and provided invoice breakdown.,5
5015,1125,2024-10-01 18:38:27,2024-10-02 02:38:27,Technical,Low,Closed,Chat,Password reset not working,Customer encounters an error after login and requests troubleshooting steps. (Subject: Password reset not working),"Collected logs, filed bug, and provided workaround; customer confirmed working.",4
